10,碳,C,0.0,0+, 15.6986,19.308 s 4 , ε : 100.00 % ,-2.31E+4 4,3648.06 7,2626.06 7,21283.6 21,3091.18 11,-2938.75 10,,,6032.042 7,-126.467 7,4081.5 11,4006.8 9,730 70,3353.7 6,,-2507 3,-5101 5,3820.94 8,,35508 18
9,硼,B,0.0,3/2-, 12.4164,0.54 keV 21 , 2α : 100.00 %  p : 100.00 % ,-16494.5 23,1068.0 9,46.0 9,18576.4 14,-12538.4 9,-15818.3 9,-30719 18,,6257.07 10,-144.07 10,5069.6 8,-185.9 9,1500 AP,,,-3.90E+3 3,-1.69E+3 5,17068.6 9,,3.140E+4 3
8,铍,Be,0.0,0+, 4.9416,5.57 eV 25 , α : 100.00 % ,-17979.9 10,-16004.13 6,-17026.13 6,18898.64 8,-26668.01 10,-28420 8,-3.081E+4 3,-5.85E+4 20,7062.435 4,-215.420 4,8617.06 6,17254.40 4,3030 10,3030 10,,-3729.21 3,91.84 4,27228.37 6,-30123 18,29576 5
7,锂,Li,0.0,3/2-, 14.9071,STABLE,92.41% 4 ,-861.89 7,-11166 8,-12188 8,7251.0898,-3.42E+4 10,-3.43E+4 3,-11539 5,-3.84E+4 20,5606.4390 10,65.5534 10,2609.233 25,9973.96 5,477.612 3,,,-3098.345 5,-2467.62,3.256E+4 9,-1.277E+4 3,1.291E+4 5
6,氦,He,0.0,0+, 17.5920,806.7 ms 15 , β- : 100.00 % ,3505.22 5,-2.43E+4 3,-2.53E+4 3,1710 20,,,-2.16E+3 5,-2.387E+4 21,4878.519 9,-739.787 9,1060 11,2.259E+4 9,477.612 3,1797 25,,,,,-783 5,975.45 5
5,氢,H,0.0,(1/2+), 32.8924,5.7 MeV 21 , 2n : 100.00 % ,2.166E+4 9,,,-2.0E+2 13,,,2.240E+4 9,1.82E+3 9,1336 18,,3.6E+2 15,,477.612 3,,,,,,2.121E+4 10,-1.80E+3 9
14,氟,F,0.0,2-, 31.9644,910 keV 100 , p   ,,2.396E+4 4,2.293E+4 4,,2.910E+4 4,1.933E+4 4,,,5285 3,-637 3,,-1.56E+3 4,477.612 3,,,0 AP,-9.3E+3 4,-5.E+1 4,,
13,氧,O,0.0,(3/2-), 23.1154,8.58 ms 5 , ε : 100.00 %  εp : 11.30 % ,,17770 10,16748 10,1.687E+4 3,19990 10,15826 10,,,5811.8 7,-231.4 7,3154 14,1512 10,2750 40,,,-410 7,-8220 10,2112 10,,
12,氮,N,0.0,1+, 17.3380,11.000 ms 16 , ε : 100.00 % ,-14577 24,17338.1 10,16316.1 10,1.504E+4 5,3968.7 17,1381.4 10,,,6170.11 8,-270.62 8,2514 23,600.3 10,960 12,,,-537 4,-8008.4 14,9290.5 10,,3.76E+4 4
11,碳,C,0.0,3/2-, 10.6493,20.364 m 14 , ε : 100.00 % ,-1.365E+4 5,1981.69 6,959.69 6,13120.59 9,-9527.77 25,-9247.06 10,-3.62E+4 4,,6676.456 5,-29.379 5,2800.06 5,8690.18 6,2000.0 4,,,-1337.09 25,-7544.52 9,15277.00 10,,34404.2 21
